[22:36:45] ================================================================================
[22:36:45] 流星偵測系統 - 增強版
[22:36:45] ================================================================================
[22:36:45] 影片: me.mp4
[22:36:45] 總幀數: 3065, FPS: 30.00
[22:36:45] 參數: 移動檢查=10幀, 最小移動=5px
[22:36:46] ✓ 流星 #1: 幀 71-76 (時間 2.4s-2.5s), 長度 23.7px, 速度 4.7px/frame, 點數 3
[22:36:48] ✓ 流星 #36: 幀 451-452 (時間 15.0s-15.1s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:36:48] ✓ 流星 #37: 幀 459-459 (時間 15.3s-15.3s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:36:48] ✓ 流星 #38: 幀 459-459 (時間 15.3s-15.3s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:36:48] ✓ 流星 #39: 幀 476-476 (時間 15.9s-15.9s), 長度 6.1px, 速度 6.1px/frame, 點數 2
[22:36:48] 處理進度: 500/3065, 活躍軌跡: 9, 已偵測流星: 39
[22:36:48] ✓ 流星 #40: 幀 493-496 (時間 16.4s-16.5s), 長度 7.0px, 速度 2.3px/frame, 點數 3
[22:36:48] ✓ 流星 #41: 幀 499-499 (時間 16.6s-16.6s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:36:48] ✓ 流星 #42: 幀 521-521 (時間 17.4s-17.4s), 長度 6.1px, 速度 6.1px/frame, 點數 2
[22:36:48] ✓ 流星 #43: 幀 521-521 (時間 17.4s-17.4s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:36:48] ✓ 流星 #44: 幀 535-535 (時間 17.8s-17.8s), 長度 6.1px, 速度 6.1px/frame, 點數 2
[22:36:48] ✓ 流星 #45: 幀 541-544 (時間 18.0s-18.1s), 長度 6.0px, 速度 2.0px/frame, 點數 3
[22:36:48] ✓ 流星 #46: 幀 544-544 (時間 18.1s-18.1s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:36:48] ✓ 流星 #47: 幀 551-551 (時間 18.4s-18.4s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:36:48] ✓ 流星 #48: 幀 551-551 (時間 18.4s-18.4s), 長度 5.4px, 速度 5.4px/frame, 點數 2
[22:36:48] ✓ 流星 #49: 幀 550-553 (時間 18.3s-18.4s), 長度 7.0px, 速度 2.3px/frame, 點數 3
[22:36:48] ✓ 流星 #50: 幀 550-554 (時間 18.3s-18.5s), 長度 5.4px, 速度 1.3px/frame, 點數 2
[22:36:48] 處理進度: 600/3065, 活躍軌跡: 1, 已偵測流星: 50
[22:36:49] ✓ 流星 #51: 幀 597-605 (時間 19.9s-20.2s), 長度 20.8px, 速度 2.6px/frame, 點數 5
[22:36:49] ✓ 流星 #52: 幀 602-609 (時間 20.1s-20.3s), 長度 27.8px, 速度 4.0px/frame, 點數 5
[22:36:49] ✓ 流星 #53: 幀 607-635 (時間 20.2s-21.2s), 長度 85.3px, 速度 3.0px/frame, 點數 12
[22:36:49] ✓ 流星 #54: 幀 631-643 (時間 21.0s-21.4s), 長度 22.6px, 速度 1.9px/frame, 點數 5
[22:36:49] 處理進度: 700/3065, 活躍軌跡: 0, 已偵測流星: 54
[22:36:49] ✓ 流星 #55: 幀 751-751 (時間 25.0s-25.0s), 長度 20.0px, 速度 20.0px/frame, 點數 2
[22:36:49] ✓ 流星 #56: 幀 751-751 (時間 25.0s-25.0s), 長度 44.0px, 速度 44.0px/frame, 點數 2
[22:36:49] ✓ 流星 #57: 幀 758-758 (時間 25.3s-25.3s), 長度 11.0px, 速度 11.0px/frame, 點數 2
[22:36:49] ✓ 流星 #58: 幀 758-758 (時間 25.3s-25.3s), 長度 11.0px, 速度 11.0px/frame, 點數 2
[22:36:49] ✓ 流星 #59: 幀 758-758 (時間 25.3s-25.3s), 長度 10.0px, 速度 10.0px/frame, 點數 2
[22:36:49] ✓ 流星 #60: 幀 758-758 (時間 25.3s-25.3s), 長度 11.0px, 速度 11.0px/frame, 點數 2
[22:36:49] ✓ 流星 #61: 幀 758-758 (時間 25.3s-25.3s), 長度 10.0px, 速度 10.0px/frame, 點數 2
[22:36:49] ✓ 流星 #62: 幀 758-758 (時間 25.3s-25.3s), 長度 13.0px, 速度 13.0px/frame, 點數 2
[22:36:49] ✓ 流星 #63: 幀 758-758 (時間 25.3s-25.3s), 長度 12.2px, 速度 12.2px/frame, 點數 2
[22:36:49] ✓ 流星 #64: 幀 758-758 (時間 25.3s-25.3s), 長度 11.0px, 速度 11.0px/frame, 點數 2
[22:36:49] ✓ 流星 #65: 幀 758-758 (時間 25.3s-25.3s), 長度 12.4px, 速度 12.4px/frame, 點數 2
[22:36:49] ✓ 流星 #66: 幀 758-758 (時間 25.3s-25.3s), 長度 12.2px, 速度 12.2px/frame, 點數 2
[22:36:49] 處理進度: 800/3065, 活躍軌跡: 0, 已偵測流星: 66
[22:36:50] ✓ 流星 #67: 幀 861-873 (時間 28.7s-29.1s), 長度 167.6px, 速度 14.0px/frame, 點數 6
[22:36:50] ✓ 流星 #68: 幀 863-875 (時間 28.8s-29.2s), 長度 169.8px, 速度 14.2px/frame, 點數 6
[22:36:50] 處理進度: 900/3065, 活躍軌跡: 0, 已偵測流星: 68
[22:36:50] 處理進度: 1000/3065, 活躍軌跡: 0, 已偵測流星: 68
[22:36:51] ✓ 流星 #69: 幀 1051-1051 (時間 35.0s-35.0s), 長度 23.3px, 速度 23.3px/frame, 點數 2
[22:36:51] ✓ 流星 #70: 幀 1051-1051 (時間 35.0s-35.0s), 長度 29.5px, 速度 29.5px/frame, 點數 2
[22:36:51] ✓ 流星 #71: 幀 1052-1052 (時間 35.1s-35.1s), 長度 12.5px, 速度 12.5px/frame, 點數 2
[22:36:51] ✓ 流星 #72: 幀 1057-1057 (時間 35.2s-35.2s), 長度 32.7px, 速度 32.7px/frame, 點數 2
[22:36:51] 處理進度: 1100/3065, 活躍軌跡: 0, 已偵測流星: 72
[22:36:51] ✓ 流星 #73: 幀 1125-1125 (時間 37.5s-37.5s), 長度 28.2px, 速度 28.2px/frame, 點數 2
[22:36:51] ✓ 流星 #74: 幀 1125-1125 (時間 37.5s-37.5s), 長度 24.0px, 速度 24.0px/frame, 點數 2
[22:36:51] ✓ 流星 #75: 幀 1125-1125 (時間 37.5s-37.5s), 長度 17.1px, 速度 17.1px/frame, 點數 2
[22:36:51] ✓ 流星 #76: 幀 1125-1125 (時間 37.5s-37.5s), 長度 27.3px, 速度 27.3px/frame, 點數 2
[22:36:51] ✓ 流星 #77: 幀 1125-1125 (時間 37.5s-37.5s), 長度 30.0px, 速度 30.0px/frame, 點數 2
[22:36:51] ✓ 流星 #78: 幀 1125-1125 (時間 37.5s-37.5s), 長度 44.4px, 速度 44.4px/frame, 點數 2
[22:36:51] ✓ 流星 #79: 幀 1125-1125 (時間 37.5s-37.5s), 長度 16.5px, 速度 16.5px/frame, 點數 2
[22:36:51] ✓ 流星 #80: 幀 1125-1125 (時間 37.5s-37.5s), 長度 11.4px, 速度 11.4px/frame, 點數 2
[22:36:51] ✓ 流星 #81: 幀 1125-1125 (時間 37.5s-37.5s), 長度 55.9px, 速度 55.9px/frame, 點數 2
[22:36:51] ✓ 流星 #82: 幀 1125-1125 (時間 37.5s-37.5s), 長度 33.3px, 速度 33.3px/frame, 點數 2
[22:36:51] ✓ 流星 #83: 幀 1125-1125 (時間 37.5s-37.5s), 長度 29.1px, 速度 29.1px/frame, 點數 2
[22:36:51] ✓ 流星 #84: 幀 1125-1125 (時間 37.5s-37.5s), 長度 21.2px, 速度 21.2px/frame, 點數 2
[22:36:51] ✓ 流星 #85: 幀 1125-1125 (時間 37.5s-37.5s), 長度 50.6px, 速度 50.6px/frame, 點數 2
[22:36:51] ✓ 流星 #86: 幀 1125-1125 (時間 37.5s-37.5s), 長度 8.1px, 速度 8.1px/frame, 點數 2
[22:36:51] ✓ 流星 #87: 幀 1125-1125 (時間 37.5s-37.5s), 長度 25.6px, 速度 25.6px/frame, 點數 2
[22:36:51] ✓ 流星 #88: 幀 1125-1125 (時間 37.5s-37.5s), 長度 22.5px, 速度 22.5px/frame, 點數 2
[22:36:51] ✓ 流星 #89: 幀 1125-1125 (時間 37.5s-37.5s), 長度 44.1px, 速度 44.1px/frame, 點數 2
[22:36:51] ✓ 流星 #90: 幀 1125-1125 (時間 37.5s-37.5s), 長度 33.5px, 速度 33.5px/frame, 點數 2
[22:36:51] ✓ 流星 #91: 幀 1125-1125 (時間 37.5s-37.5s), 長度 42.5px, 速度 42.5px/frame, 點數 2
[22:36:51] ✓ 流星 #92: 幀 1125-1125 (時間 37.5s-37.5s), 長度 30.5px, 速度 30.5px/frame, 點數 2
[22:36:51] ✓ 流星 #93: 幀 1125-1125 (時間 37.5s-37.5s), 長度 25.3px, 速度 25.3px/frame, 點數 2
[22:36:51] ✓ 流星 #94: 幀 1125-1125 (時間 37.5s-37.5s), 長度 36.7px, 速度 36.7px/frame, 點數 2
[22:36:51] ✓ 流星 #95: 幀 1125-1125 (時間 37.5s-37.5s), 長度 13.3px, 速度 13.3px/frame, 點數 2
[22:36:51] ✓ 流星 #96: 幀 1125-1125 (時間 37.5s-37.5s), 長度 25.2px, 速度 25.2px/frame, 點數 2
[22:36:51] ✓ 流星 #97: 幀 1125-1125 (時間 37.5s-37.5s), 長度 12.6px, 速度 12.6px/frame, 點數 2
[22:36:51] ✓ 流星 #98: 幀 1125-1125 (時間 37.5s-37.5s), 長度 22.6px, 速度 22.6px/frame, 點數 2
[22:36:51] ✓ 流星 #99: 幀 1125-1125 (時間 37.5s-37.5s), 長度 24.2px, 速度 24.2px/frame, 點數 2
[22:36:51] ✓ 流星 #100: 幀 1125-1125 (時間 37.5s-37.5s), 長度 11.3px, 速度 11.3px/frame, 點數 2
[22:36:51] ✓ 流星 #101: 幀 1125-1125 (時間 37.5s-37.5s), 長度 31.8px, 速度 31.8px/frame, 點數 2
[22:36:51] ✓ 流星 #102: 幀 1125-1125 (時間 37.5s-37.5s), 長度 12.2px, 速度 12.2px/frame, 點數 2
[22:36:51] ✓ 流星 #103: 幀 1125-1125 (時間 37.5s-37.5s), 長度 21.9px, 速度 21.9px/frame, 點數 2
[22:36:51] ✓ 流星 #104: 幀 1125-1125 (時間 37.5s-37.5s), 長度 39.3px, 速度 39.3px/frame, 點數 2
[22:36:51] ✓ 流星 #105: 幀 1125-1125 (時間 37.5s-37.5s), 長度 41.4px, 速度 41.4px/frame, 點數 2
[22:36:51] ✓ 流星 #106: 幀 1125-1125 (時間 37.5s-37.5s), 長度 38.3px, 速度 38.3px/frame, 點數 2
[22:36:51] ✓ 流星 #107: 幀 1125-1125 (時間 37.5s-37.5s), 長度 28.0px, 速度 28.0px/frame, 點數 2
[22:36:51] ✓ 流星 #108: 幀 1125-1125 (時間 37.5s-37.5s), 長度 33.7px, 速度 33.7px/frame, 點數 2
[22:36:51] ✓ 流星 #109: 幀 1125-1125 (時間 37.5s-37.5s), 長度 44.6px, 速度 44.6px/frame, 點數 2
[22:36:51] ✓ 流星 #110: 幀 1125-1125 (時間 37.5s-37.5s), 長度 11.4px, 速度 11.4px/frame, 點數 2
[22:36:51] ✓ 流星 #111: 幀 1125-1125 (時間 37.5s-37.5s), 長度 54.4px, 速度 54.4px/frame, 點數 2
[22:36:51] ✓ 流星 #112: 幀 1125-1125 (時間 37.5s-37.5s), 長度 28.2px, 速度 28.2px/frame, 點數 2
[22:36:51] ✓ 流星 #113: 幀 1125-1125 (時間 37.5s-37.5s), 長度 28.2px, 速度 28.2px/frame, 點數 2
[22:36:51] ✓ 流星 #114: 幀 1125-1125 (時間 37.5s-37.5s), 長度 40.3px, 速度 40.3px/frame, 點數 2
[22:36:51] ✓ 流星 #115: 幀 1125-1125 (時間 37.5s-37.5s), 長度 23.4px, 速度 23.4px/frame, 點數 2
[22:36:51] ✓ 流星 #116: 幀 1125-1125 (時間 37.5s-37.5s), 長度 8.1px, 速度 8.1px/frame, 點數 2
[22:36:51] ✓ 流星 #117: 幀 1125-1125 (時間 37.5s-37.5s), 長度 48.4px, 速度 48.4px/frame, 點數 2
[22:36:51] ✓ 流星 #118: 幀 1125-1125 (時間 37.5s-37.5s), 長度 17.3px, 速度 17.3px/frame, 點數 2
[22:36:51] ✓ 流星 #119: 幀 1125-1125 (時間 37.5s-37.5s), 長度 50.6px, 速度 50.6px/frame, 點數 2
[22:36:51] ✓ 流星 #120: 幀 1125-1125 (時間 37.5s-37.5s), 長度 28.3px, 速度 28.3px/frame, 點數 2
[22:36:51] ✓ 流星 #121: 幀 1125-1125 (時間 37.5s-37.5s), 長度 8.2px, 速度 8.2px/frame, 點數 2
[22:36:51] ✓ 流星 #122: 幀 1125-1125 (時間 37.5s-37.5s), 長度 15.6px, 速度 15.6px/frame, 點數 2
[22:36:51] ✓ 流星 #123: 幀 1125-1125 (時間 37.5s-37.5s), 長度 48.3px, 速度 48.3px/frame, 點數 2
[22:36:51] ✓ 流星 #124: 幀 1125-1125 (時間 37.5s-37.5s), 長度 13.4px, 速度 13.4px/frame, 點數 2
[22:36:51] ✓ 流星 #125: 幀 1125-1125 (時間 37.5s-37.5s), 長度 24.5px, 速度 24.5px/frame, 點數 2
[22:36:51] ✓ 流星 #126: 幀 1125-1125 (時間 37.5s-37.5s), 長度 57.0px, 速度 57.0px/frame, 點數 2
[22:36:51] ✓ 流星 #127: 幀 1125-1125 (時間 37.5s-37.5s), 長度 49.1px, 速度 49.1px/frame, 點數 2
[22:36:51] ✓ 流星 #128: 幀 1125-1125 (時間 37.5s-37.5s), 長度 36.8px, 速度 36.8px/frame, 點數 2
[22:36:51] ✓ 流星 #129: 幀 1125-1125 (時間 37.5s-37.5s), 長度 26.2px, 速度 26.2px/frame, 點數 2
[22:36:51] ✓ 流星 #130: 幀 1125-1125 (時間 37.5s-37.5s), 長度 36.4px, 速度 36.4px/frame, 點數 2
[22:36:51] ✓ 流星 #131: 幀 1125-1125 (時間 37.5s-37.5s), 長度 53.8px, 速度 53.8px/frame, 點數 2
[22:36:51] ✓ 流星 #132: 幀 1125-1125 (時間 37.5s-37.5s), 長度 39.6px, 速度 39.6px/frame, 點數 2
[22:36:51] ✓ 流星 #133: 幀 1125-1125 (時間 37.5s-37.5s), 長度 43.1px, 速度 43.1px/frame, 點數 2
[22:36:51] ✓ 流星 #134: 幀 1125-1125 (時間 37.5s-37.5s), 長度 29.5px, 速度 29.5px/frame, 點數 2
[22:36:51] ✓ 流星 #135: 幀 1125-1125 (時間 37.5s-37.5s), 長度 33.4px, 速度 33.4px/frame, 點數 2
[22:36:51] ✓ 流星 #136: 幀 1125-1125 (時間 37.5s-37.5s), 長度 22.6px, 速度 22.6px/frame, 點數 2
[22:36:51] ✓ 流星 #137: 幀 1125-1125 (時間 37.5s-37.5s), 長度 21.5px, 速度 21.5px/frame, 點數 2
[22:36:51] ✓ 流星 #138: 幀 1125-1125 (時間 37.5s-37.5s), 長度 57.7px, 速度 57.7px/frame, 點數 2
[22:36:51] ✓ 流星 #139: 幀 1125-1125 (時間 37.5s-37.5s), 長度 12.0px, 速度 12.0px/frame, 點數 2
[22:36:51] ✓ 流星 #140: 幀 1125-1125 (時間 37.5s-37.5s), 長度 41.9px, 速度 41.9px/frame, 點數 2
[22:36:51] ✓ 流星 #141: 幀 1125-1125 (時間 37.5s-37.5s), 長度 33.6px, 速度 33.6px/frame, 點數 2
[22:36:51] ✓ 流星 #142: 幀 1125-1125 (時間 37.5s-37.5s), 長度 35.5px, 速度 35.5px/frame, 點數 2
[22:36:51] ✓ 流星 #143: 幀 1125-1125 (時間 37.5s-37.5s), 長度 30.9px, 速度 30.9px/frame, 點數 2
[22:36:51] ✓ 流星 #144: 幀 1125-1125 (時間 37.5s-37.5s), 長度 5.0px, 速度 5.0px/frame, 點數 2
[22:36:51] ✓ 流星 #145: 幀 1125-1125 (時間 37.5s-37.5s), 長度 38.0px, 速度 38.0px/frame, 點數 2
[22:36:51] ✓ 流星 #146: 幀 1175-1190 (時間 39.2s-39.7s), 長度 94.2px, 速度 6.3px/frame, 點數 4
[22:36:51] 處理進度: 1200/3065, 活躍軌跡: 2, 已偵測流星: 146
[22:36:51] ✓ 流星 #147: 幀 1180-1195 (時間 39.3s-39.8s), 長度 93.3px, 速度 6.2px/frame, 點數 4
[22:36:52] 處理進度: 1300/3065, 活躍軌跡: 0, 已偵測流星: 147
[22:36:52] ✓ 流星 #148: 幀 1341-1348 (時間 44.7s-44.9s), 長度 27.1px, 速度 3.9px/frame, 點數 3
[22:36:52] ✓ 流星 #149: 幀 1345-1352 (時間 44.8s-45.1s), 長度 43.1px, 速度 6.2px/frame, 點數 4
[22:36:52] ✓ 流星 #150: 幀 1352-1363 (時間 45.1s-45.4s), 長度 100.8px, 速度 9.2px/frame, 點數 5
[22:36:52] ✓ 流星 #151: 幀 1366-1370 (時間 45.5s-45.7s), 長度 15.0px, 速度 3.8px/frame, 點數 2
[22:36:52] ✓ 流星 #152: 幀 1373-1377 (時間 45.8s-45.9s), 長度 16.0px, 速度 4.0px/frame, 點數 2
[22:36:52] 處理進度: 1400/3065, 活躍軌跡: 2, 已偵測流星: 152
[22:36:52] ✓ 流星 #153: 幀 1384-1402 (時間 46.1s-46.7s), 長度 79.1px, 速度 4.4px/frame, 點數 6
[22:36:53] ✓ 流星 #154: 幀 1355-1406 (時間 45.2s-46.9s), 長度 202.1px, 速度 4.0px/frame, 點數 15
[22:36:53] 處理進度: 1500/3065, 活躍軌跡: 0, 已偵測流星: 154
[22:36:53] ✓ 流星 #155: 幀 1501-1501 (時間 50.0s-50.0s), 長度 10.3px, 速度 10.3px/frame, 點數 2
[22:36:53] ✓ 流星 #156: 幀 1501-1501 (時間 50.0s-50.0s), 長度 7.1px, 速度 7.1px/frame, 點數 2
[22:36:54] ✓ 流星 #157: 幀 1562-1569 (時間 52.1s-52.3s), 長度 32.3px, 速度 4.6px/frame, 點數 5
[22:36:54] ✓ 流星 #158: 幀 1564-1570 (時間 52.1s-52.3s), 長度 23.7px, 速度 4.0px/frame, 點數 4
[22:36:54] ✓ 流星 #159: 幀 1555-1583 (時間 51.8s-52.8s), 長度 96.3px, 速度 3.4px/frame, 點數 13
[22:36:54] ✓ 流星 #160: 幀 1576-1588 (時間 52.5s-52.9s), 長度 39.1px, 速度 3.3px/frame, 點數 6
[22:36:54] 處理進度: 1600/3065, 活躍軌跡: 0, 已偵測流星: 160
[22:36:55] ✓ 流星 #161: 幀 1685-1685 (時間 56.2s-56.2s), 長度 24.2px, 速度 24.2px/frame, 點數 2
[22:36:55] ✓ 流星 #162: 幀 1685-1685 (時間 56.2s-56.2s), 長度 43.6px, 速度 43.6px/frame, 點數 2
[22:36:55] ✓ 流星 #163: 幀 1685-1685 (時間 56.2s-56.2s), 長度 55.8px, 速度 55.8px/frame, 點數 2
[22:36:55] ✓ 流星 #164: 幀 1685-1685 (時間 56.2s-56.2s), 長度 56.6px, 速度 56.6px/frame, 點數 2
[22:36:55] ✓ 流星 #165: 幀 1685-1685 (時間 56.2s-56.2s), 長度 36.7px, 速度 36.7px/frame, 點數 2
[22:36:55] 處理進度: 1700/3065, 活躍軌跡: 1, 已偵測流星: 165
[22:36:56] ✓ 流星 #166: 幀 1712-1717 (時間 57.1s-57.2s), 長度 6.0px, 速度 1.2px/frame, 點數 2
[22:36:56] ✓ 流星 #167: 幀 1723-1723 (時間 57.4s-57.4s), 長度 6.4px, 速度 6.4px/frame, 點數 2
[22:36:56] ✓ 流星 #168: 幀 1732-1736 (時間 57.7s-57.9s), 長度 15.8px, 速度 4.0px/frame, 點數 3
[22:36:56] ✓ 流星 #169: 幀 1736-1738 (時間 57.9s-57.9s), 長度 13.0px, 速度 6.5px/frame, 點數 2
[22:36:56] ✓ 流星 #170: 幀 1745-1748 (時間 58.2s-58.3s), 長度 5.4px, 速度 1.8px/frame, 點數 2
[22:36:56] ✓ 流星 #171: 幀 1748-1765 (時間 58.3s-58.8s), 長度 74.8px, 速度 4.4px/frame, 點數 9
[22:36:56] ✓ 流星 #172: 幀 1750-1772 (時間 58.3s-59.1s), 長度 105.1px, 速度 4.8px/frame, 點數 10
[22:36:57] ✓ 流星 #173: 幀 1767-1789 (時間 58.9s-59.6s), 長度 102.1px, 速度 4.6px/frame, 點數 10
[22:36:57] ✓ 流星 #174: 幀 1784-1793 (時間 59.5s-59.8s), 長度 34.2px, 速度 3.8px/frame, 點數 4
[22:36:57] 處理進度: 1800/3065, 活躍軌跡: 0, 已偵測流星: 174
[22:36:58] 處理進度: 1900/3065, 活躍軌跡: 21, 已偵測流星: 174
[22:36:58] ✓ 流星 #175: 幀 1898-1898 (時間 63.3s-63.3s), 長度 33.2px, 速度 33.2px/frame, 點數 2
[22:36:58] ✓ 流星 #176: 幀 1898-1898 (時間 63.3s-63.3s), 長度 32.8px, 速度 32.8px/frame, 點數 2
[22:36:58] ✓ 流星 #177: 幀 1898-1898 (時間 63.3s-63.3s), 長度 56.0px, 速度 56.0px/frame, 點數 2
[22:36:58] ✓ 流星 #178: 幀 1898-1898 (時間 63.3s-63.3s), 長度 57.9px, 速度 57.9px/frame, 點數 2
[22:36:58] ✓ 流星 #179: 幀 1898-1898 (時間 63.3s-63.3s), 長度 21.3px, 速度 21.3px/frame, 點數 2
[22:36:58] ✓ 流星 #180: 幀 1898-1898 (時間 63.3s-63.3s), 長度 36.1px, 速度 36.1px/frame, 點數 2
[22:36:58] ✓ 流星 #181: 幀 1947-1954 (時間 64.9s-65.1s), 長度 36.9px, 速度 5.3px/frame, 點數 4
[22:36:58] ✓ 流星 #182: 幀 1951-1961 (時間 65.0s-65.4s), 長度 57.9px, 速度 5.8px/frame, 點數 6
[22:36:58] ✓ 流星 #183: 幀 1954-1964 (時間 65.1s-65.5s), 長度 37.7px, 速度 3.8px/frame, 點數 5
[22:36:59] 處理進度: 2000/3065, 活躍軌跡: 0, 已偵測流星: 183
[22:36:59] ✓ 流星 #184: 幀 2061-2061 (時間 68.7s-68.7s), 長度 31.1px, 速度 31.1px/frame, 點數 2
[22:36:59] ✓ 流星 #185: 幀 2061-2061 (時間 68.7s-68.7s), 長度 36.1px, 速度 36.1px/frame, 點數 2
[22:36:59] ✓ 流星 #186: 幀 2061-2061 (時間 68.7s-68.7s), 長度 56.8px, 速度 56.8px/frame, 點數 2
[22:36:59] ✓ 流星 #187: 幀 2061-2061 (時間 68.7s-68.7s), 長度 56.3px, 速度 56.3px/frame, 點數 2
